
STATUS | wrapper  | 2014/11/15 10:44:06 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/11/15 10:44:06 | Java Service Wrapper Standard Edition 32-bit 3.5.25
STATUS | wrapper  | 2014/11/15 10:44:06 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/11/15 10:44:06 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2014/11/15 10:44:06 | 
NOTICE | wrapper  | 2014/11/15 10:44:06 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:44:06 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2014/11/15 10:44:06 | 
NOTICE | wrapper  | 2014/11/15 10:44:06 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2014/11/15 10:44:06 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2014/11/15 10:44:06 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2014/11/15 10:44:06 | automatically after 15 minutes.
NOTICE | wrapper  | 2014/11/15 10:44:06 | 
NOTICE | wrapper  | 2014/11/15 10:44:06 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2014/11/15 10:44:06 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2014/11/15 10:44:06 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2014/11/15 10:44:06 | a one-month Free trial license:
NOTICE | wrapper  | 2014/11/15 10:44:06 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2014/11/15 10:44:06 | 
NOTICE | wrapper  | 2014/11/15 10:44:06 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2014/11/15 10:44:06 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2014/11/15 10:44:06 | web site:
NOTICE | wrapper  | 2014/11/15 10:44:06 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2014/11/15 10:44:06 | 
NOTICE | wrapper  | 2014/11/15 10:44:06 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2014/11/15 10:44:06 | should not be used as part of a production environment.
NOTICE | wrapper  | 2014/11/15 10:44:06 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:44:06 | 
STATUS | wrapper  | 2014/11/15 10:44:06 | 
STATUS | wrapper  | 2014/11/15 10:44:06 | Launching a JVM...
INFO   | jvm 1    | 2014/11/15 10:44:07 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper: Initializing...
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper: start()
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper: An action was not specified.  Default to "dialog".  Use "help" for list of actions.
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper: ActionServer Enabled. 
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:   Telnet localhost 9999
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:   Commands: 
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     S: Shutdown
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     H: Expected Halt
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     R: Restart
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     D: Thread Dump
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     U: Unexpected Halt (Simulate crash)
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     V: Access Violation (Actual crash)
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:     G: Make the JVM appear to be hung.
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper:
INFO   | jvm 1    | 2014/11/15 10:44:09 | TestWrapper: Showing dialog...
INFO   | jvm 1    | 2014/11/15 10:44:29 | TestWrapper: stop(0)
STATUS | wrapper  | 2014/11/15 10:44:31 | <-- Wrapper Stopped
STATUS | wrapperm | 2014/11/15 10:44:41 | Test Wrapper Sample Application service installed.
STATUS | wrapper  | 2014/11/15 10:44:51 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/11/15 10:44:51 | Java Service Wrapper Standard Edition 32-bit 3.5.25
STATUS | wrapper  | 2014/11/15 10:44:51 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/11/15 10:44:51 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2014/11/15 10:44:51 | 
NOTICE | wrapper  | 2014/11/15 10:44:51 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:44:51 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2014/11/15 10:44:51 | 
NOTICE | wrapper  | 2014/11/15 10:44:51 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2014/11/15 10:44:51 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2014/11/15 10:44:51 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2014/11/15 10:44:51 | automatically after 15 minutes.
NOTICE | wrapper  | 2014/11/15 10:44:51 | 
NOTICE | wrapper  | 2014/11/15 10:44:51 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2014/11/15 10:44:51 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2014/11/15 10:44:51 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2014/11/15 10:44:51 | a one-month Free trial license:
NOTICE | wrapper  | 2014/11/15 10:44:51 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2014/11/15 10:44:51 | 
NOTICE | wrapper  | 2014/11/15 10:44:51 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2014/11/15 10:44:51 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2014/11/15 10:44:51 | web site:
NOTICE | wrapper  | 2014/11/15 10:44:51 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2014/11/15 10:44:51 | 
NOTICE | wrapper  | 2014/11/15 10:44:51 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2014/11/15 10:44:51 | should not be used as part of a production environment.
NOTICE | wrapper  | 2014/11/15 10:44:51 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:44:52 | 
STATUS | wrapper  | 2014/11/15 10:44:52 | 
STATUS | wrapper  | 2014/11/15 10:44:52 | Launching a JVM...
INFO   | jvm 1    | 2014/11/15 10:44:52 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper: Initializing...
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper: start()
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper: An action was not specified.  Default to "dialog".  Use "help" for list of actions.
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper: ActionServer Enabled. 
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:   Telnet localhost 9999
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:   Commands: 
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     S: Shutdown
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     H: Expected Halt
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     R: Restart
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     D: Thread Dump
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     U: Unexpected Halt (Simulate crash)
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     V: Access Violation (Actual crash)
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:     G: Make the JVM appear to be hung.
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper:
INFO   | jvm 1    | 2014/11/15 10:44:53 | TestWrapper: Showing dialog...
INFO   | jvm 1    | 2014/11/15 10:44:57 | TestWrapper: stop(1)
STATUS | wrapper  | 2014/11/15 10:44:58 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/11/15 10:45:07 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/11/15 10:45:07 | Java Service Wrapper Standard Edition 32-bit 3.5.25
STATUS | wrapper  | 2014/11/15 10:45:07 |   Copyright (C) 1999-2014 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/11/15 10:45:07 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2014/11/15 10:45:07 | 
NOTICE | wrapper  | 2014/11/15 10:45:07 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:45:07 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2014/11/15 10:45:07 | 
NOTICE | wrapper  | 2014/11/15 10:45:07 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2014/11/15 10:45:07 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2014/11/15 10:45:07 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2014/11/15 10:45:07 | automatically after 15 minutes.
NOTICE | wrapper  | 2014/11/15 10:45:07 | 
NOTICE | wrapper  | 2014/11/15 10:45:07 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2014/11/15 10:45:07 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2014/11/15 10:45:07 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2014/11/15 10:45:07 | a one-month Free trial license:
NOTICE | wrapper  | 2014/11/15 10:45:07 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2014/11/15 10:45:07 | 
NOTICE | wrapper  | 2014/11/15 10:45:07 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2014/11/15 10:45:07 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2014/11/15 10:45:07 | web site:
NOTICE | wrapper  | 2014/11/15 10:45:07 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2014/11/15 10:45:07 | 
NOTICE | wrapper  | 2014/11/15 10:45:07 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2014/11/15 10:45:07 | should not be used as part of a production environment.
NOTICE | wrapper  | 2014/11/15 10:45:07 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:45:07 | 
STATUS | wrapper  | 2014/11/15 10:45:07 | 
STATUS | wrapper  | 2014/11/15 10:45:07 | Launching a JVM...
INFO   | jvm 1    | 2014/11/15 10:45:08 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/15 10:45:08 | TestWrapper: Initializing...
INFO   | jvm 1    | 2014/11/15 10:45:08 | TestWrapper: start()
INFO   | jvm 1    | 2014/11/15 10:45:08 | TestWrapper: An action was not specified.  Default to "dialog".  Use "help" for list of actions.
INFO   | jvm 1    | 2014/11/15 10:45:08 | TestWrapper: ActionServer Enabled. 
